Unnamed: 0,#,ประเภท,รายการ,สร้างโดย,ชื่อลูกค้า,รหัสลูกค้า,อีเมลลูกค้า,เบอร์โทรศัพท์ลูกค้า,ที่อยู่ลูกค้า,เลขผู้เสียภาษี,อ้างอิง,ช่องทางการขาย,วันที่ทำรายการ,ส่วนลด,รายได้จาก Platform,ค่าส่ง (ที่เรียกเก็บจากลูกค้า),มูลค่ารวมก่อนภาษี,ภาษีมูลค่าเพิ่ม,วันส่งสินค้า,Tracking No,ช่องทางจัดส่ง,ชื่อผู้รับ,เบอร์โทรศัพท์ผู้รับ,อีเมลผู้รับ,ที่อยู่/จัดส่ง,รหัสไปรษณีย์,จังหวัด,อำเภอ/เขต,ตำบล/แขวง,มูลค่า,หมายเหตุ,Tag,สถานะรายการ,คลัง/สาขา,สถานะการชำระเงิน,ใบกำกับภาษี,ช่องทางการชำระเงิน,จำนวนเงินที่ชำระ,วันที่ชำระเงิน,Payment ID,รหัสสินค้า,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,ส่วนลดต่อหน่วย,ราคารวม,ล็อต,หมวดหมู่
Website,236,ขายออก,DD917203,Admin,Somjai Thongsuk,8833,somjai.thongsuk@example.com,063015074,"870 หมู่ 14, Nakhon Ratchasima",,,Website,20/04/2025,,,100,700.0,0.0,,TH78571402,Thailand Post,Somjai Thongsuk,063015074,,"652 หมู่ 11, Nakhon Ratchasima",11466,Nakhon Ratchasima,,,700.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,800.0,20/04/2025,,DD011,Dental Chew Sticks (Large),2,350,0.0,700.0,,Treats
Website,237,ขายออก,DD745424,Admin,Nattaya Jairak,9504,nattaya.jairak@example.com,068317619,"538 หมู่ 19, Nonthaburi",,,Website,06/01/2025,,,100,7000.0,0.0,,TH92556904,Thailand Post,Nattaya Jairak,068317619,,"865 หมู่ 4, Nonthaburi",19290,Nonthaburi,,,7000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,7100.0,08/01/2025,,DD005,Weight Management Formula,5,1400,0.0,7000.0,,Dry Food
Lazada,238,ขายออก,DD514380,Admin,Siriporn Saengchan,7719,siriporn.saengchan@example.com,094688173,"246 หมู่ 6, Phuket",,,Lazada,30/11/2024,,-60.0,60,2400.0,0.0,,TH46832178,Kerry Express,Siriporn Saengchan,094688173,,"320 หมู่ 10, Phuket",45932,Phuket,,,2400.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,COD,,,,DD014,Hip & Joint Supplement,3,800,0.0,2400.0,,Supplements
In-store,239,ขายออก,DD506245,Admin,Nattaporn Pongsak,1643,nattaporn.pongsak@example.com,062048966,"427 หมู่ 4, Chonburi",,,In-store,23/11/2024,,,80,5000.0,0.0,,TH37006699,Flash Express,Nattaporn Pongsak,062048966,,"513 หมู่ 7, Chonburi",21569,Chonburi,,,5000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,5080.0,23/11/2024,,DD017,Puppy Starter Kit,2,2500,0.0,5000.0,,Bundles
Website,240,ขายออก,DD859066,Admin,Wichit Nakornpol,8354,wichit.nakornpol@example.com,096224369,"31 หมู่ 4, Chonburi",,,Website,13/05/2025,,,100,650.0,0.0,,TH78015259,J&T Express,Wichit Nakornpol,096224369,,"421 หมู่ 17, Chonburi",81466,Chonburi,,,650.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,750.0,15/05/2025,,DD009,Lamb & Pea Wet Food,5,130,0.0,650.0,,Wet Food
Shopee,241,ขายออก,DD270205,Admin,Somporn Thongpai,1441,somporn.thongpai@example.com,072187018,"858 หมู่ 13, Nakhon Ratchasima",,,Shopee,25/12/2024,,-100.0,100,1200.0,0.0,,TH43059070,Thailand Post,Somporn Thongpai,072187018,,"390 หมู่ 6, Nakhon Ratchasima",81947,Nakhon Ratchasima,,,1200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,1300.0,27/12/2024,,DD016,Multivitamin Chews,2,600,0.0,1200.0,,Supplements
Distributor,242,ขายออก,DD257195,Admin,Ratree Thongpai,2184,ratree.thongpai@example.com,063293673,"747 หมู่ 15, Chonburi",,,Distributor,30/12/2024,,,100,360.0,0.0,,TH69147144,Kerry Express,Ratree Thongpai,063293673,,"770 หมู่ 7, Chonburi",66548,Chonburi,,,360.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,460.0,01/01/2025,,DD008,Chicken & Rice Wet Food,3,120,0.0,360.0,,Wet Food
Lazada,243,ขายออก,DD825571,Admin,Siripat Thongpol,3181,siripat.thongpol@example.com,097389690,"426 หมู่ 16, Bangkok",,,Lazada,13/03/2025,,-60.0,60,360.0,0.0,,TH25234145,Flash Express,Siripat Thongpol,097389690,,"863 หมู่ 14, Bangkok",91418,Bangkok,,,360.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,420.0,15/03/2025,,DD012,Training Treats (Chicken),2,180,0.0,360.0,,Treats
Website,244,ขายออก,DD226202,Admin,Siripong Thongpat,3395,siripong.thongpat@example.com,069476201,"29 หมู่ 15, Chiang Mai",,,Website,02/05/2025,,,70,2500.0,0.0,,TH28613148,Thailand Post,Siripong Thongpat,069476201,,"35 หมู่ 6, Chiang Mai",87242,Chiang Mai,,,2500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,2570.0,03/05/2025,,DD017,Puppy Starter Kit,1,2500,0.0,2500.0,,Bundles
Lazada,245,ขายออก,DD227572,Admin,Somying Pongpanich,8500,somying.pongpanich@example.com,094416403,"327 หมู่ 15, Chonburi",,,Lazada,05/04/2025,15.0,-70.0,70,3187.5,0.0,,TH97829519,Flash Express,Somying Pongpanich,094416403,,"839 หมู่ 6, Chonburi",52674,Chonburi,,,3187.5,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,3257.5,06/04/2025,,DD015,Skin & Coat Supplement,5,750,112.5,3187.5,,Supplements
Lazada,246,ขายออก,DD788433,Admin,Nattaporn Nakornthap,4862,nattaporn.nakornthap@example.com,075953799,"171 หมู่ 6, Chiang Mai",,,Lazada,04/05/2025,,-50.0,50,12500.0,0.0,,TH39025773,J&T Express,Nattaporn Nakornthap,075953799,,"965 หมู่ 11, Chiang Mai",46824,Chiang Mai,,,12500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,12550.0,04/05/2025,,DD017,Puppy Starter Kit,5,2500,0.0,12500.0,,Bundles
Shopee,247,ขายออก,DD494295,Admin,Wichuda Nakornpat,8235,wichuda.nakornpat@example.com,082207739,"814 หมู่ 2, Bangkok",,,Shopee,11/12/2024,,-80.0,80,14000.0,0.0,,TH49483623,J&T Express,Wichuda Nakornpat,082207739,,"323 หมู่ 8, Bangkok",28610,Bangkok,,,14000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,14080.0,11/12/2024,,DD018,Senior Care Package,5,2800,0.0,14000.0,,Bundles
Lazada,248,ขายออก,DD331414,Admin,Wichian Jaidee,2784,wichian.jaidee@example.com,072467217,"439 หมู่ 11, Nakhon Ratchasima",,,Lazada,22/11/2024,,-100.0,100,3000.0,0.0,,TH11643083,Thailand Post,Wichian Jaidee,072467217,,"147 หมู่ 3, Nakhon Ratchasima",95961,Nakhon Ratchasima,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,3100.0,24/11/2024,,DD016,Multivitamin Chews,5,600,0.0,3000.0,,Supplements
Lazada,249,ขายออก,DD776278,Admin,Somchai Jaipak,4197,somchai.jaipak@example.com,085513207,"177 หมู่ 5, Nakhon Ratchasima",,,Lazada,08/01/2025,,-70.0,70,4000.0,0.0,,TH96379410,J&T Express,Somchai Jaipak,085513207,,"410 หมู่ 3, Nakhon Ratchasima",65371,Nakhon Ratchasima,,,4000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,4070.0,08/01/2025,,DD014,Hip & Joint Supplement,5,800,0.0,4000.0,,Supplements
Website,250,ขายออก,DD294795,Admin,Siripong Nakornthap,5758,siripong.nakornthap@example.com,097312379,"627 หมู่ 11, Ayutthaya",,,Website,22/02/2025,,,50,8000.0,0.0,,TH13401447,Flash Express,Siripong Nakornthap,097312379,,"875 หมู่ 13, Ayutthaya",12887,Ayutthaya,,,8000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,8050.0,22/02/2025,,DD003,Premium Senior Kibble (Large Breed),5,1600,0.0,8000.0,,Dry Food
Lazada,251,ขายออก,DD325959,Admin,Wichai Thongchai,5340,wichai.thongchai@example.com,069358827,"109 หมู่ 8, Bangkok",,,Lazada,11/04/2025,,-70.0,70,750.0,0.0,,TH61819951,J&T Express,Wichai Thongchai,069358827,,"112 หมู่ 13, Bangkok",72766,Bangkok,,,750.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,820.0,11/04/2025,,DD015,Skin & Coat Supplement,1,750,0.0,750.0,,Supplements
Shopee,252,ขายออก,DD601233,Admin,Wichuda Nakornsri,2677,wichuda.nakornsri@example.com,099543144,"834 หมู่ 8, Bangkok",,,Shopee,01/02/2025,,-100.0,100,10000.0,0.0,,TH78110885,Kerry Express,Wichuda Nakornsri,099543144,,"771 หมู่ 3, Bangkok",71497,Bangkok,,,10000.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,COD,,,,DD017,Puppy Starter Kit,4,2500,0.0,10000.0,,Bundles
Website,253,ขายออก,DD785967,Admin,Wichit Suksawat,8209,wichit.suksawat@example.com,093583677,"915 หมู่ 1, Khon Kaen",,,Website,17/04/2025,,,70,2800.0,0.0,,TH86864536,J&T Express,Wichit Suksawat,093583677,,"930 หมู่ 16, Khon Kaen",22632,Khon Kaen,,,2800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,2870.0,17/04/2025,,DD018,Senior Care Package,1,2800,0.0,2800.0,,Bundles
Lazada,254,ขายออก,DD445578,Admin,Somjai Jaiyen,1478,somjai.jaiyen@example.com,075168773,"15 หมู่ 4, Songkhla",,,Lazada,28/02/2025,,-80.0,80,5600.0,0.0,,TH87642269,Flash Express,Somjai Jaiyen,075168773,,"191 หมู่ 8, Songkhla",16191,Songkhla,,,5600.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,5680.0,28/02/2025,,DD018,Senior Care Package,2,2800,0.0,5600.0,,Bundles
Website,255,ขายออก,DD196502,Admin,Siriporn Nakornthap,8788,siriporn.nakornthap@example.com,087184546,"330 หมู่ 9, Khon Kaen",,,Website,25/11/2024,,,100,200.0,0.0,,TH56875246,Kerry Express,Siriporn Nakornthap,087184546,,"8 หมู่ 3, Khon Kaen",72532,Khon Kaen,,,200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,300.0,26/11/2024,,DD013,Peanut Butter Biscuits,1,200,0.0,200.0,,Treats
In-store,256,ขายออก,DD124648,Admin,Nattaya Pongpat,1178,nattaya.pongpat@example.com,095735524,"197 หมู่ 18, Bangkok",,,In-store,06/03/2025,,,100,650.0,0.0,,TH29038007,J&T Express,Nattaya Pongpat,095735524,,"788 หมู่ 12, Bangkok",71431,Bangkok,,,650.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,750.0,07/03/2025,,DD009,Lamb & Pea Wet Food,5,130,0.0,650.0,,Wet Food
Website,257,ขายออก,DD519007,Admin,Somjai Saengchan,5312,somjai.saengchan@example.com,078238225,"492 หมู่ 3, Bangkok",,,Website,26/03/2025,,,50,400.0,0.0,,TH39268923,Thailand Post,Somjai Saengchan,078238225,,"183 หมู่ 14, Bangkok",25187,Bangkok,,,400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,450.0,28/03/2025,,DD013,Peanut Butter Biscuits,2,200,0.0,400.0,,Treats
Lazada,258,ขายออก,DD120039,Admin,Sirichai Jairak,2030,sirichai.jairak@example.com,098725166,"155 หมู่ 10, Chiang Mai",,,Lazada,12/05/2025,,-50.0,50,6800.0,0.0,,TH82571474,Kerry Express,Sirichai Jairak,098725166,,"546 หมู่ 4, Chiang Mai",64962,Chiang Mai,,,6800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,6850.0,12/05/2025,,DD006,Sensitive Stomach Formula,4,1700,0.0,6800.0,,Dry Food
Lazada,259,ขายออก,DD410809,Admin,Wichuda Jairak,8090,wichuda.jairak@example.com,083488144,"602 หมู่ 16, Songkhla",,,Lazada,18/04/2025,15.0,-70.0,70,2890.0,0.0,,TH15088539,Thailand Post,Wichuda Jairak,083488144,,"21 หมู่ 7, Songkhla",86106,Songkhla,,,2890.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,2960.0,19/04/2025,,DD006,Sensitive Stomach Formula,2,1700,255.0,2890.0,,Dry Food
Lazada,260,ขายออก,DD566933,Admin,Ratchanee Jaipak,2754,ratchanee.jaipak@example.com,089228736,"464 หมู่ 6, Khon Kaen",,,Lazada,14/01/2025,15.0,-70.0,70,306.0,0.0,,TH64152949,Flash Express,Ratchanee Jaipak,089228736,,"967 หมู่ 12, Khon Kaen",93255,Khon Kaen,,,306.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,Credit Card,,,,DD008,Chicken & Rice Wet Food,3,120,18.0,306.0,,Wet Food
Website,261,ขายออก,DD597666,Admin,Ratchada Nakornsri,3939,ratchada.nakornsri@example.com,081404911,"24 หมู่ 18, Nakhon Ratchasima",,,Website,11/02/2025,5.0,,100,370.5,0.0,,TH10171277,Thailand Post,Ratchada Nakornsri,081404911,,"50 หมู่ 14, Nakhon Ratchasima",24559,Nakhon Ratchasima,,,370.5,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,470.5,13/02/2025,,DD009,Lamb & Pea Wet Food,3,130,6.5,370.5,,Wet Food
Website,262,ขายออก,DD337919,Admin,Ratchaphon Pongpanich,9737,ratchaphon.pongpanich@example.com,084101373,"446 หมู่ 15, Chiang Rai",,,Website,03/02/2025,,,50,2250.0,0.0,,,J&T Express,Ratchaphon Pongpanich,084101373,,"236 หมู่ 14, Chiang Rai",97527,Chiang Rai,,,2250.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,TrueMoney Wallet,,,,DD015,Skin & Coat Supplement,3,750,0.0,2250.0,,Supplements
Lazada,263,ขายออก,DD214010,Admin,Wichuda Thongpan,2045,wichuda.thongpan@example.com,098725976,"291 หมู่ 5, Bangkok",,,Lazada,17/03/2025,,-100.0,100,3000.0,0.0,,TH39619149,Flash Express,Wichuda Thongpan,098725976,,"784 หมู่ 18, Bangkok",63639,Bangkok,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,3100.0,17/03/2025,,DD002,Premium Adult Kibble (All Breeds),2,1500,0.0,3000.0,,Dry Food
Distributor,264,ขายออก,DD307440,Admin,Somsak Sae-tang,7852,somsak.sae-tang@example.com,063758566,"426 หมู่ 2, Chiang Mai",,,Distributor,18/03/2025,,,70,7500.0,0.0,,TH72025363,J&T Express,Somsak Sae-tang,063758566,,"265 หมู่ 11, Chiang Mai",58517,Chiang Mai,,,7500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,7570.0,18/03/2025,,DD017,Puppy Starter Kit,3,2500,0.0,7500.0,,Bundles
Shopee,265,ขายออก,DD467747,Admin,Ratchada Nakornpat,3365,ratchada.nakornpat@example.com,086895038,"464 หมู่ 2, Phuket",,,Shopee,24/02/2025,,-80.0,80,7500.0,0.0,,TH77643497,Flash Express,Ratchada Nakornpat,086895038,,"599 หมู่ 18, Phuket",10215,Phuket,,,7500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,7580.0,25/02/2025,,DD002,Premium Adult Kibble (All Breeds),5,1500,0.0,7500.0,,Dry Food
Distributor,266,ขายออก,DD529763,Admin,Nattaya Nakornsri,9243,nattaya.nakornsri@example.com,083029341,"882 หมู่ 11, Pathum Thani",,,Distributor,02/03/2025,,,60,12500.0,0.0,,TH87936233,Thailand Post,Nattaya Nakornsri,083029341,,"797 หมู่ 14, Pathum Thani",51785,Pathum Thani,,,12500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,12560.0,03/03/2025,,DD017,Puppy Starter Kit,5,2500,0.0,12500.0,,Bundles
Lazada,267,ขายออก,DD952208,Admin,Somjai Jaidee,3173,somjai.jaidee@example.com,093568101,"413 หมู่ 19, Ayutthaya",,,Lazada,25/11/2024,15.0,-70.0,70,2550.0,0.0,,TH53426742,J&T Express,Somjai Jaidee,093568101,,"425 หมู่ 10, Ayutthaya",58821,Ayutthaya,,,2550.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,2620.0,26/11/2024,,DD015,Skin & Coat Supplement,4,750,112.5,2550.0,,Supplements
Website,268,ขายออก,DD887733,Admin,Siriporn Nakorn,2916,siriporn.nakorn@example.com,081963544,"897 หมู่ 6, Udon Thani",,,Website,22/02/2025,,,60,2400.0,0.0,,TH69193912,J&T Express,Siriporn Nakorn,081963544,,"933 หมู่ 1, Udon Thani",33991,Udon Thani,,,2400.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,2460.0,23/02/2025,,DD001,Premium Puppy Kibble (Small Breed),2,1200,0.0,2400.0,,Dry Food
In-store,269,ขายออก,DD292376,Admin,Siriwan Jairam,7957,siriwan.jairam@example.com,093076259,"452 หมู่ 14, Chiang Rai",,,In-store,14/05/2025,,,80,3600.0,0.0,,,Flash Express,Siriwan Jairam,093076259,,"590 หมู่ 16, Chiang Rai",42016,Chiang Rai,,,3600.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,Bank Transfer,,,,DD001,Premium Puppy Kibble (Small Breed),3,1200,0.0,3600.0,,Dry Food
Lazada,270,ขายออก,DD149589,Admin,Siriporn Pongthep,7678,siriporn.pongthep@example.com,076102367,"410 หมู่ 13, Phuket",,,Lazada,26/01/2025,,-100.0,100,3000.0,0.0,,TH61017938,Kerry Express,Siriporn Pongthep,076102367,,"391 หมู่ 15, Phuket",18320,Phuket,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,3100.0,28/01/2025,,DD002,Premium Adult Kibble (All Breeds),2,1500,0.0,3000.0,,Dry Food
Shopee,271,ขายออก,DD206102,Admin,Wichaya Sae-lim,3728,wichaya.sae-lim@example.com,068718454,"663 หมู่ 7, Nakhon Ratchasima",,,Shopee,30/12/2024,,-70.0,70,4800.0,0.0,,TH87180450,Thailand Post,Wichaya Sae-lim,068718454,,"515 หมู่ 18, Nakhon Ratchasima",18997,Nakhon Ratchasima,,,4800.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,4870.0,31/12/2024,,DD001,Premium Puppy Kibble (Small Breed),4,1200,0.0,4800.0,,Dry Food
Website,272,ขายออก,DD235393,Admin,Nattanon Thongpat,5078,nattanon.thongpat@example.com,073100326,"682 หมู่ 19, Songkhla",,,Website,29/12/2024,,,60,120.0,0.0,,TH41218896,Flash Express,Nattanon Thongpat,073100326,,"960 หมู่ 12, Songkhla",45929,Songkhla,,,120.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,COD,180.0,31/12/2024,,DD007,Beef & Vegetable Wet Food,1,120,0.0,120.0,,Wet Food
Lazada,273,ขายออก,DD543833,Admin,Wichaya Thongsuk,1992,wichaya.thongsuk@example.com,068532351,"715 หมู่ 10, Chonburi",,,Lazada,11/01/2025,,-50.0,50,600.0,0.0,,TH47297350,Flash Express,Wichaya Thongsuk,068532351,,"537 หมู่ 5, Chonburi",30977,Chonburi,,,600.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,650.0,12/01/2025,,DD016,Multivitamin Chews,1,600,0.0,600.0,,Supplements
Shopee,274,ขายออก,DD334847,Admin,Wichit Thongpol,4001,wichit.thongpol@example.com,065854487,"715 หมู่ 18, Surat Thani",,,Shopee,11/05/2025,,-100.0,100,1750.0,0.0,,TH95081424,Flash Express,Wichit Thongpol,065854487,,"695 หมู่ 10, Surat Thani",29585,Surat Thani,,,1750.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,1850.0,12/05/2025,,DD011,Dental Chew Sticks (Large),5,350,0.0,1750.0,,Treats
Lazada,275,ขายออก,DD960894,Admin,Sirirat Nakornpat,8246,sirirat.nakornpat@example.com,065245576,"155 หมู่ 15, Surat Thani",,,Lazada,05/03/2025,,-70.0,70,5000.0,0.0,,TH98595831,J&T Express,Sirirat Nakornpat,065245576,,"988 หมู่ 5, Surat Thani",42924,Surat Thani,,,5000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,5070.0,05/03/2025,,DD017,Puppy Starter Kit,2,2500,0.0,5000.0,,Bundles
In-store,276,ขายออก,DD531978,Admin,Ratchanee Saengchan,3349,ratchanee.saengchan@example.com,072957792,"868 หมู่ 16, Phuket",,,In-store,05/12/2024,,,80,3200.0,0.0,,TH83092807,J&T Express,Ratchanee Saengchan,072957792,,"408 หมู่ 1, Phuket",67986,Phuket,,,3200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,3280.0,06/12/2024,,DD014,Hip & Joint Supplement,4,800,0.0,3200.0,,Supplements
Lazada,277,ขายออก,DD315705,Admin,Wichuda Ruangrit,3506,wichuda.ruangrit@example.com,097646854,"514 หมู่ 14, Pathum Thani",,,Lazada,04/01/2025,,-70.0,70,500.0,0.0,,TH69490604,J&T Express,Wichuda Ruangrit,097646854,,"620 หมู่ 17, Pathum Thani",57914,Pathum Thani,,,500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,570.0,04/01/2025,,DD010,Dental Chew Sticks (Small),2,250,0.0,500.0,,Treats
Lazada,278,ขายออก,DD319222,Admin,Wichit Jairam,7701,wichit.jairam@example.com,065051939,"899 หมู่ 12, Bangkok",,,Lazada,05/04/2025,,-60.0,60,180.0,0.0,,TH67415983,J&T Express,Wichit Jairam,065051939,,"808 หมู่ 2, Bangkok",93400,Bangkok,,,180.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Prompt Pay,240.0,07/04/2025,,DD012,Training Treats (Chicken),1,180,0.0,180.0,,Treats
Shopee,279,ขายออก,DD468615,Admin,Somjai Pongpat,7500,somjai.pongpat@example.com,094658997,"816 หมู่ 7, Khon Kaen",,,Shopee,24/02/2025,,-100.0,100,2400.0,0.0,,TH93724371,Thailand Post,Somjai Pongpat,094658997,,"443 หมู่ 5, Khon Kaen",95042,Khon Kaen,,,2400.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,COD,,,,DD014,Hip & Joint Supplement,3,800,0.0,2400.0,,Supplements
In-store,280,ขายออก,DD297780,Admin,Wichai Pongsakorn,1363,wichai.pongsakorn@example.com,086044316,"119 หมู่ 14, Chiang Mai",,,In-store,27/11/2024,,,70,2250.0,0.0,,TH55859287,Flash Express,Wichai Pongsakorn,086044316,,"546 หมู่ 9, Chiang Mai",56233,Chiang Mai,,,2250.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,2320.0,28/11/2024,,DD015,Skin & Coat Supplement,3,750,0.0,2250.0,,Supplements
Distributor,281,ขายออก,DD795416,Admin,Ratree Suksawat,1773,ratree.suksawat@example.com,092696609,"392 หมู่ 19, Phuket",,,Distributor,26/11/2024,,,50,2500.0,0.0,,TH80238849,J&T Express,Ratree Suksawat,092696609,,"267 หมู่ 12, Phuket",38885,Phuket,,,2500.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Bank Transfer,2550.0,27/11/2024,,DD017,Puppy Starter Kit,1,2500,0.0,2500.0,,Bundles
Shopee,282,ขายออก,DD123004,Admin,Ratchaphon Pongsak,4732,ratchaphon.pongsak@example.com,063091219,"236 หมู่ 18, Chiang Mai",,,Shopee,28/01/2025,,-60.0,60,3000.0,0.0,,TH62617967,Kerry Express,Ratchaphon Pongsak,063091219,,"478 หมู่ 7, Chiang Mai",33331,Chiang Mai,,,3000.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,3060.0,29/01/2025,,DD002,Premium Adult Kibble (All Breeds),2,1500,0.0,3000.0,,Dry Food
Lazada,283,ขายออก,DD894865,Admin,Siripong Pongsak,3007,siripong.pongsak@example.com,089037821,"801 หมู่ 18, Bangkok",,,Lazada,06/12/2024,,-100.0,100,120.0,0.0,,TH80892663,J&T Express,Siripong Pongsak,089037821,,"952 หมู่ 12, Bangkok",93600,Bangkok,,,120.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,220.0,06/12/2024,,DD007,Beef & Vegetable Wet Food,1,120,0.0,120.0,,Wet Food
In-store,284,ขายออก,DD739207,Admin,Ratchanee Jairam,8072,ratchanee.jairam@example.com,069688458,"229 หมู่ 2, Nakhon Ratchasima",,,In-store,03/01/2025,,,50,750.0,0.0,,TH69705919,Thailand Post,Ratchanee Jairam,069688458,,"596 หมู่ 3, Nakhon Ratchasima",51139,Nakhon Ratchasima,,,750.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,800.0,04/01/2025,,DD010,Dental Chew Sticks (Small),3,250,0.0,750.0,,Treats
In-store,285,ขายออก,DD911350,Admin,Wichit Pongpanich,1942,wichit.pongpanich@example.com,069570397,"525 หมู่ 8, Phuket",,,In-store,14/05/2025,,,60,14000.0,0.0,,,Kerry Express,Wichit Pongpanich,069570397,,"601 หมู่ 4, Phuket",41625,Phuket,,,14000.0,,,ยกเลิก,สต๊อกกลาง,ยกเลิก,,Prompt Pay,,,,DD018,Senior Care Package,5,2800,0.0,14000.0,,Bundles
Shopee,286,ขายออก,DD178840,Admin,Wichai Nakornthap,6378,wichai.nakornthap@example.com,069120459,"90 หมู่ 8, Chiang Rai",,,Shopee,28/12/2024,,-100.0,100,14000.0,0.0,,TH81352324,Kerry Express,Wichai Nakornthap,069120459,,"891 หมู่ 12, Chiang Rai",56900,Chiang Rai,,,14000.0,,,รอจัดส่ง,สต๊อกกลาง,รอชำระ,,COD,,,,DD018,Senior Care Package,5,2800,0.0,14000.0,,Bundles
In-store,287,ขายออก,DD931769,Admin,Nattaya Jaipak,4044,nattaya.jaipak@example.com,097829313,"397 หมู่ 5, Bangkok",,,In-store,26/03/2025,15.0,,80,1190.0,0.0,,TH27030294,J&T Express,Nattaya Jaipak,097829313,,"459 หมู่ 10, Bangkok",81558,Bangkok,,,1190.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,Credit Card,1270.0,28/03/2025,,DD011,Dental Chew Sticks (Large),4,350,52.5,1190.0,,Treats
Lazada,288,ขายออก,DD988559,Admin,Nattanicha Ruangsan,4734,nattanicha.ruangsan@example.com,091125851,"221 หมู่ 16, Nonthaburi",,,Lazada,07/01/2025,,-60.0,60,200.0,0.0,,TH40234634,J&T Express,Nattanicha Ruangsan,091125851,,"237 หมู่ 13, Nonthaburi",18446,Nonthaburi,,,200.0,,,สำเร็จ,สต๊อกกลาง,ชำระครบ,,TrueMoney Wallet,260.0,07/01/2025,,DD013,Peanut Butter Biscuits,1,200,0.0,200.0,,Treats
